WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographicCitation,URI,Volume,Part
wfo-0000518969,distribution,EN,"Thailand, Lower Burma, Malay Peninsula (type), Sumatra.",R.D. Hoogland,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000518969,Forest Herbarium,All rights reserved,"Acrotrema costatum. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 104. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00198,2,2
wfo-0000519280,distribution,EN,"Thailand, Formosa, S. China, Hongkong (type), Indochina to Malesia (Malay Peninsula, Sumatra, and Borneo).",H. Keng,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000519280,Forest Herbarium,All rights reserved,"Actinidia latifolia. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 140. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00260,2,2
wfo-0000519327,distribution,EN,"Thailand, SW. China (Yunnan, type).",H. Keng,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000519327,Forest Herbarium,All rights reserved,"Actinidia rubricaulis. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 140. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00261,2,2
wfo-0000520896,distribution,EN,"Thailand, Malay Peninsula (type), Cambodia.",H. Keng,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000520896,Forest Herbarium,All rights reserved,"Adinandra integerrima. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 151. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00282,2,2
wfo-0000520912,distribution,EN,"Thailand, Laos (type).",H. Keng,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000520912,Forest Herbarium,All rights reserved,"Adinandra laotica. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 152. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00283,2,2
wfo-0000520952,distribution,EN,Endemic to Thailand.,H. Keng,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000520952,Forest Herbarium,All rights reserved,"Adinandra oblonga. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 151. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00281,2,2
wfo-0000520976,distribution,EN,"Thailand, Sumatra, Borneo (type), Malay Peninsula.",H. Keng,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000520976,Forest Herbarium,All rights reserved,"Adinandra sarosanthera. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 152. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00284,2,2
wfo-0000523712,distribution,EN,"Thailand, Malay Peninsula, Sumatra, W. & C. Java, Borneo (type), Philippines.",J.E. Vidal,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000523712,Forest Herbarium,All rights reserved,"Agelaea borneensis. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 120. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00226,2,2
wfo-0000523801,distribution,EN,"Thailand, S. Laos, S. Vietnam, Cambodia, Malay Peninsula, Sumatra, W. Java, Borneo, Philippines (type), Moluccas.",J.E. Vidal,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000523801,Forest Herbarium,All rights reserved,"Agelaea trinervis. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 119. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00225,2,2
wfo-0000537574,distribution,EN,"Thailand, Burma (type), Indochina, S. China (Yunnan, Kwangtung), Hainan, Formosa, and Malay Peninsula. Five varieties are recognized by Kobuski (J. Arnold Arbor. 33: 79. 1952)",H. Keng,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000537574,Forest Herbarium,All rights reserved,"Anneslea fragrans. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 157. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00298,2,2
wfo-0000249986,distribution,EN,"Thailand, Burma, Cambodia, S. Vietnam, Malay Peninsula (type), throughout Indonesia to Java and Borneo.","K. Larsen, F.F. de Vogel",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000249986,Forest Herbarium,All rights reserved,"Apostasia nuda. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 137. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00257,2,2
wfo-0000249997,distribution,EN,"Thailand, Assam, Yunnan, Vietnam, Malay Peninsula, through Indonesia to Borneo and Celebes (type front Java).","K. Larsen, F.F. de Vogel",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000249997,Forest Herbarium,All rights reserved,"Apostasia odorata. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 134. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00254,2,2
wfo-0000250068,distribution,EN,"Thailand, Ceylon, Nepal (type), Assam, Burma, Cambodia, Vietnam, Malay Peninsula, throughout Indonesia to N. Australia (Queensland).","K. Larsen, F.F. de Vogel",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000250068,Forest Herbarium,All rights reserved,"Apostasia wallichii. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 135. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00255,2,2
wfo-0000558623,distribution,EN,"Thailand, Tropical Africa, Madagascar and Comoros, India, S. China, Hainan, Cambodia, Andaman Is., Malesia (Java, type), Tahiti.",B. Hansen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000558623,Forest Herbarium,All rights reserved,"Balanophora abbreviata. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 178. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00326,2,2
wfo-0000558661,distribution,EN,"Thailand, India (Nilgiris).",B. Hansen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000558661,Forest Herbarium,All rights reserved,"Balanophora fungosa minor. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 180. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00330,2,2
wfo-0000558666,distribution,EN,"Thailand, India (Assam), China, Taiwan, Hong Kong (type).",B. Hansen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000558666,Forest Herbarium,All rights reserved,"Balanophora harlandii. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 178. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00327,2,2
wfo-0000558697,distribution,EN,"Thailand, Indochina (type), Malaya, Sumatra, Borneo.",B. Hansen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000558697,Forest Herbarium,All rights reserved,"Balanophora latisepala. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 180. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00331,2,2
wfo-0000558698,distribution,EN,"Thailand, Tibet, China (type), Taiwan, Indochina.",B. Hansen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000558698,Forest Herbarium,All rights reserved,"Balanophora laxiflora. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 181. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00332,2,2
wfo-0000580855,distribution,EN,"Thailand, Burma, SW. China (type), Indochina, Hainan, Taiwan.",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000580855,Forest Herbarium,All rights reserved,"Calocedrus macrolepis. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 196. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00356,2,2
wfo-0000582291,distribution,EN,Endemic to Thailand.,H. Keng,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000582291,Forest Herbarium,All rights reserved,"Camellia connata. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 147. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00273,2,2
wfo-0000582598,distribution,EN,"Thailand, Indochina (N. Vietnam, type).",H. Keng,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000582598,Forest Herbarium,All rights reserved,"Camellia pleurocarpa. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 146. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00271,2,2
wfo-0000582677,distribution,EN,"Thailand, India, Assam (type), Burma, Indochina, and SW. China.",H. Keng,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000582677,Forest Herbarium,All rights reserved,"Camellia sinensis assamica. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 148. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00275,2,2
wfo-0000582705,distribution,EN,"Thailand, SW. China (Yunnan, type).",H. Keng,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000582705,Forest Herbarium,All rights reserved,"Camellia taliensis. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 148. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00276,2,2
wfo-0000582708,distribution,EN,"Thailand, SW. China (Yunnan, type).",H. Keng,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000582708,Forest Herbarium,All rights reserved,"Camellia tenii. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 146. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00272,2,2
wfo-0000802651,distribution,EN,"Thailand, Assam, W. Bengal, Burma, N. & W. Vietnam, Yunnan, W. Malesia (type).",H. Sleumer,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000802651,Forest Herbarium,All rights reserved,"Cardiopteris quinqueloba. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 93. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00184,2,2
wfo-0000353066,distribution,EN,"Thailand, Cambodia (type), Laos.",K. Larsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000353066,Forest Herbarium,All rights reserved,"Centrolepis cambodiana. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 161. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00304,2,2
